slug,district,name,party_name,party_abbr,vote
arghakhanchi-1,Arghakhanchi,Hari Prasad Bhusal,Rastriya Swatantra Party,RSP,35023
arghakhanchi-1,Arghakhanchi,Pitambar Bhusal,CPN-UML,CPN-UML,22649
arghakhanchi-1,Arghakhanchi,Bishnu Prasad Khanal,Nepali Congress,NC,18983
baglung-1,Baglung,Sushil Khadka,Rastriya Swatantra Party,RSP,20927
baglung-1,Baglung,Bhim Bahadur Shrees Rana,Nepali Congress,NC,11944
baglung-1,Baglung,Hira Bahadur Khatri,CPN-UML,CPN-UML,8640
baglung-2,Baglung,Som Sharma,Rastriya Swatantra Party,RSP,12647
baglung-2,Baglung,Tek Raj Paudel,Nepali Congress,NC,11868
baglung-2,Baglung,Gyanmanath Gaire,Nepal Communist Party,NCP,10709
baitadi-1,Baitadi,Hari Mohan Bhandari,Rastriya Swatantra Party,RSP,22134
baitadi-1,Baitadi,Chatur Bahadur Chanda,Nepali Congress,NC,18194
baitadi-1,Baitadi,Damodar Bhandari,CPN-UML,CPN-UML,17091
banke-1,Banke,Suresh Kumar Chaudhary,Rastriya Swatantra Party,RSP,32792
banke-1,Banke,Narayan Prasad Goudel,Nepali Congress,NC,15301
banke-1,Banke,Surya Prasad Dhakal,CPN-UML,CPN-UML,11095
banke-3,Banke,Khagendra Sunar,Rastriya Swatantra Party,RSP,29551
banke-3,Banke,Suman Malla,CPN-UML,CPN-UML,19615
banke-3,Banke,Amar Singh Pun,Nepali Congress,NC,13215
bara-1,Bara,Ganesh Dhimal,Rastriya Swatantra Party,RSP,39998
bara-1,Bara,Shambhubahadur Budhathoki,Nepali Congress,NC,14223
bara-1,Bara,Achyutprasad Mainali,CPN-UML,CPN-UML,11645
bara-2,Bara,Chandankumar Singh,Rastriya Swatantra Party,RSP,35590
bara-2,Bara,Ramkishorprasad Yadav,Janata Samajwadi Party,JSP,14196
bara-2,Bara,Bhaiyaraprasad Yadav,Nepali Congress,NC,11837
bara-3,Bara,Arbind Sah,Rastriya Swatantra Party,RSP,40697
bara-3,Bara,Pharamullaha Mansur,Nepali Congress,NC,10052
bara-3,Bara,Rambabukumar Yadav,Janata Samajwadi Party,JSP,6884
bara-4,Bara,Rahabar Ansari,Rastriya Swatantra Party,RSP,41200
bara-4,Bara,Krishnakumar Shrestha,CPN-UML,CPN-UML,11639
bara-4,Bara,Sanjusah Kanu,Janata Samajwadi Party,JSP,7593
bardiya-1,Bardiya,Thakur Singh Tharu,Rastriya Swatantra Party,RSP,49631
bardiya-1,Bardiya,Salik Ram Adhikari,CPN-UML,CPN-UML,14643
bardiya-1,Bardiya,Sanjay Kumar Gautam,Nepali Congress,NC,12722
bardiya-2,Bardiya,Shreedhar Pokharel,Rastriya Swatantra Party,RSP,29678
bardiya-2,Bardiya,Kishor Singh Rathore,Nepali Congress,NC,20402
bardiya-2,Bardiya,Suresh Pantha,Nepal Communist Party,NCP,19180
bhaktapur-1,Bhaktapur,Rukesh Ranjit,Rastriya Swatantra Party,RSP,33436
bhaktapur-1,Bhaktapur,Prem Suwal,Nepal Majdoor Kisan Party,NeMaKiPa,28147
bhaktapur-1,Bhaktapur,Kiran Neupane,Nepali Congress,NC,4282
bhaktapur-2,Bhaktapur,Rajiv Khatri,Rastriya Swatantra Party,RSP,42334
bhaktapur-2,Bhaktapur,Mahesh Basnet,CPN-UML,CPN-UML,10996
bhaktapur-2,Bhaktapur,Kavir Rana,Nepali Congress,NC,8401
chitwan-1,Chitwan,Hari Dhakal,Rastriya Swatantra Party,RSP,58208
chitwan-1,Chitwan,Rajendra Prasad Burlakoti,Nepali Congress,NC,13033
chitwan-1,Chitwan,Dawa Dorje Lama,CPN-UML,CPN-UML,10899
chitwan-2,Chitwan,Rabi Lamichhane,Rastriya Swatantra Party,RSP,54402
chitwan-2,Chitwan,Meena Kumari Kharel,Nepali Congress,NC,14564
chitwan-2,Chitwan,Ashim Ghimire,CPN-UML,CPN-UML,6992
chitwan-3,Chitwan,Sobita Gautam,Rastriya Swatantra Party,RSP,59277
chitwan-3,Chitwan,Renu Dahal,Nepal Communist Party,NCP,20615
chitwan-3,Chitwan,Tek Prasad Gurung,Nepali Congress,NC,8344
dadeldhura-1,Dadeldhura,Tara Prasad Joshi,Rastriya Swatantra Party,RSP,19131
dadeldhura-1,Dadeldhura,Nain Singh Mahar,Nepali Congress,NC,12121
dadeldhura-1,Dadeldhura,Man Singh Mal,Nepal Communist Party,NCP,6834
